"sex","la","year","e50","e65","e80","e85"
"female","E06000034",2006,76.9438,79.8906,84.1652,86.7778
"female","E06000034",2007,76.9066,79.8547,84.3547,86.4957
"female","E06000034",2008,78.5388,80.3874,84.3541,86.6279
"female","E06000034",2009,77.4554,80.3907,84.642,87
"female","E06000034",2010,77.5761,80.238,84.5628,86.9459
"female","E06000034",2011,77.6794,80.8407,85.1625,87.2
"female","E06000034",2012,78.2948,80.6463,84.9837,86.8926
"female","E06000034",2013,76.7908,79.5028,84.7122,87.156
"female","E06000035",2001,NA,NA,NA,NA
"female","E06000035",2002,77.0477,79.7262,84.3309,87.0524
"female","E06000035",2003,76.9375,79.9609,84.4644,87.0674
"female","E06000035",2004,76.8931,80.0887,84.6041,87.1154
"female","E06000035",2005,77.0349,80.1453,84.5205,86.8293
"female","E06000035",2006,76.8385,79.659,84.5799,86.9064
"female","E06000035",2007,76.3555,79.6126,84.6685,86.7268
"female","E06000035",2008,76.7683,79.9508,84.6399,86.9122
"female","E06000035",2009,77.3157,80.4972,84.8617,86.9558
"female","E06000035",2010,77.3119,80.3752,84.7468,87.0278
"female","E06000035",2011,76.546,79.8374,84.9646,87.125
"female","E06000035",2012,77.5381,80.0968,84.8425,87.1273
"female","E06000035",2013,77.2906,80.1071,84.8734,87.1005
"female","E06000036",2001,NA,NA,NA,NA
"female","E06000036",2002,76.8819,79.1953,84.8092,87.3562
"female","E06000036",2003,78.1028,80.0895,84.7075,87.2179
"female","E06000036",2004,77.0177,79.5726,84.4786,87.3387
"female","E06000036",2005,77.9591,80.0988,84.4792,87
"female","E06000036",2006,76.5486,79.8295,84.9593,87.0857
"female","E06000036",2007,76.9083,80.505,85.0873,86.6835
"female","E06000036",2008,76.4749,79.5045,84.4344,86.8103
"female","E06000036",2009,76.6929,80.7033,84.9091,87.338
